Code;Description
996601;All Services Rental services of transport vehicles with operators Rental services of road vehicles including buses, coaches, cars, trucks and other motor vehicles, operator
996602;All Services Rental services of transport vehicles with operators Rental services of water vessels including passenger vessels, freight vessels and the like operator
996603;All Services Rental services of transport vehicles with operators Rental services of aircraft including passenger aircrafts, freight aircrafts and the like operator
996604;All Services Rental services of transport vehicles with operators Rental services of passenger vessels  with operator
996605;All Services Rental services of transport vehicles with operators Rental services of goods vessels with operator
996606;All Services Rental services of transport vehicles with operators Rental service of passenger aircraft with operator
996607;All Services Rental services of transport vehicles with operators Rental service of goods aircraft with operator
996609;All Services Rental services of transport vehicles with operators Rental services of other transport vehicles nowhere else classified operator
996711;All Services Supporting services in transport Container handling services
996712;All Services Supporting services in transport Customs House Agent services
996713;All Services Supporting services in transport Clearing and forwarding services
996719;All Services Supporting services in transport Other cargo and baggage handling services
996721;All Services Supporting services in transport Refrigerated storage services
996722;All Services Supporting services in transport Bulk liquid or gas storage services
996729;All Services Supporting services in transport Other storage and warehousing services
996731;All Services Supporting services in transport Railway pushing or towing services
996739;All Services Supporting services in transport Other supporting services for railway transport nowhere else classified
996741;All Services Supporting services in transport Bus station services
996742;"All Services Supporting services in transport Operation services of national highways, state highways, expressways, roads and streets; bridges and tunnel operation services"
996743;All Services Supporting services in transport Parking lot services
996744;All Services Supporting services in transport Towing services for commercial and private vehicles
996749;All Services Supporting services in transport Other supporting services for road transport nowhere else classified
996751;All Services Supporting services in transport Port and waterway operation services (excluding cargo handling) such as operation services of ports, docks, light houses, light ships and the like
996752;All Services Supporting services in transport Pilotage and berthing services
996753;All Services Supporting services in transport Vessel salvage and refloating services
996754;All Services Supporting services in transport Maintenance, repair or overhaul services in respect of ships and other vessels, their engines and other components or parts
996759;All Services Supporting services in transport Other supporting services for water transport nowhere else classified
996761;All Services Supporting services in transport Airport operation services (excluding cargo handling)
996762;All Services Supporting services in transport Air traffic control services
996763;All Services Supporting services in transport Other supporting services for air transport
996764;All Services Supporting services in transport Supporting services for space transport
996768;All Services Supporting services in transport Other supporting services for air transport
996769;All Services Supporting services in transport Supporting services for space transport
996791;All Services Supporting services in transport Goods transport agency services for road transport
996792;All Services Supporting services in transport Goods transport agency services for other modes of transport
996793;All Services Supporting services in transport Other goods transport services 
996799;All Services Supporting services in transport Other supporting transport services nowhere else classified
996811;All Services Postal and courier services Postal services including post office counter services, mail box rental services
996812;All Services Postal and courier services Courier services
996813;All Services Postal and courier services Local delivery services
996819;All Services Postal and courier services Other Delivery Services nowhere else classified
996911;All Services Electricity, gas, water and other distribution services Electricity transmission services
996912;All Services Electricity, gas, water and other distribution services Electricity distribution services
996913;All Services Electricity, gas, water and other distribution services Gas distribution services
996921;All Services Electricity, gas, water and other distribution services Water distribution services
996922;All Services Electricity, gas, water and other distribution services Services involving distribution of steam, hot water and air conditioning supply and the like
996929;All Services Electricity, gas, water and other distribution services Other similar services
997111;All Services Financial and related services Central banking services
997112;All Services Financial and related services Deposit services
997113;All Services Financial and related services Credit-granting services including stand-by commitment, guarantees and securities
997114;All Services Financial and related services Financial leasing services
997115;All Services Financial and related services Transfer of the right to use any goods for any purpose (whether or not for a specified period) for cash, deferred payment or other valuable consideration.
997116;All Services Financial and related services Any transfer of right in goods or of undivided share in goods without the transfer of title thereof.
997119;All Services Financial and related services Other financial services (except investment banking, insurance services and pension services)
997120;All Services Financial and related services Investment banking services 
997131;All Services Financial and related services pension services
997132;All Services Financial and related services Life insurance services  (excluding reinsurance services)
997133;All Services Financial and related services Accident and health insurance services
997134;All Services Financial and related services Motor vehicle insurance services
997135;All Services Financial and related services Marine, aviation, and other transport insurance services
997136;All Services Financial and related services Freight insurance services and travel insurance services
