Legacy_Serial_number,Material_Type,Material,Material_Description,Legacy_Field_Value,Material_Group,Old_material_number,Unit_of_Weight,Material_Description_1,Volume_Unit,Denominator,Display_Unit_Measure,Numerator,Base_Unit_of_Measure,Denominator_1,Numerator_1,Denominator_2,Display_Unit_Measure_1,Numerator_2,Base_Unit_of_Measure_1,Denominator_3,Display_Unit_Measure_2,Numerator_3,Base_Unit_of_Measure_2,DOMESTIC_FLAG,NO_STOCK_CHECK_IND,Legacy_Company_Code,POTXT,Manufacturer_Part_No_,Valid_From,Loading_Group,Material_Group_3,Valuation_Class,ZZ1_MM_RP_PLT,Process_Flag,Storage_Location_Extend,Material_Group_4,Denominator_4,Display_Unit_Measure_3,Numerator_4,Denominator_5,Display_Unit_Measure_4,Numerator_5,Item_Plan_Type,Effective_Till_Date,Plant_type_Legacy,HSN
20048_2026:07:02 17:47:13 498,ZICM,MA9KT07H000,"SF-PRO-IN 1.5KW,INDUCTION MOTOR,MITSUBIS",NO,MC SPARES,NEW,,"SF-PRO-IN 1.5KW,INDUCTION MOTOR,MITSUBIS",,1,,1,,0,0,0,,0,,0,,0,,,,47,"INDUCTION MOTOR, MITSUBISHI, SF-PRO-IN 1.5KW, SPEC",SF-PRO-IN 1.5KW,,,,3000.0,,S,S,,0,,0,0,,0,2050.0,9999-12-31,,9999
20048_2026:07:02 17:49:13 039,ZICM,MA9KT07C000,"SF-PRP, 0.75KW/4P,INDUCTION MOTOR,MITSUB",NO,MC SPARES,NEW,,"SF-PRP, 0.75KW/4P,INDUCTION MOTOR,MITSUB",,1,,1,,0,0,0,,0,,0,,0,,,,2,"INDUCTION MOTOR, MITSUBISHI, SF-PRP, 0.75KW/4P, RA","SF-PRP, 0.75KW/4P",,,,3000.0,,S,S,,0,,0,0,,0,2030.0,9999-12-31,,9999
20048_2026:07:02 18:41:19 301,ZICM,MA1DY0XY000,"A8661-012-001-L,PAD",NO,MC SPARES,NEW,,"A8661-012-001-L,PAD",,1,,1,,0,0,0,,0,,0,,0,,,,47,"PAD, A8661-012-001-L, MATERIAL VULKOLLAN, TOP DIA",A8661-012-001-L,,,,3000.0,,S,S,,0,,0,0,,0,2050.0,9999-12-31,,9999
20048_2026:07:02 18:43:13 850,ZICM,MA3OB09D000,"L6761-051-004-L,SEAL",NO,MC SPARES,NEW,,"L6761-051-004-L,SEAL",,1,,1,,0,0,0,,0,,0,,0,,,,1,"SEAL, L6761-051-004-L, MATERIAL URETHAN RUBBER, HA",L6761-051-004-L,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20049_2026:07:01 09:39:20 229,ZICM,MAF5900Q000,"KHH-A,HEATER,OGPE",NO,MC SPARES,NEW,,"KHH-A,HEATER,OGPE",,1,,1,,0,0,0,,0,,0,,0,,,,47,"HEATER, OGPE, KHH-A, POWER 15 KW, DETAIL VAPOURISE",KHH-A,,,,3000.0,,,,,0,,0,0,,0,,9999-12-31,,9999
20049_2026:07:01 13:35:19 666,ZICM,MA6W4075000,"SWG12-15,COIL SPRING,MISUMI",NO,MC SPARES,NEW,,"SWG12-15,COIL SPRING,MISUMI",,1,,1,,0,0,0,,0,,0,,0,,,,47,"COIL SPRING, MISUMI, SWG12-15, OUTER DIAMETER 12 M",SWG12-15,,,,3000.0,,,,,0,,0,0,,0,,9999-12-31,,9999
20049_2026:07:01 15:31:19 702,ZICM,MABH0001000,"AIRMIX REGULATOR,REGULATOR,SAMES",NO,MC SPARES,NEW,,"AIRMIX REGULATOR,REGULATOR,SAMES",,1,,1,,0,0,0,,0,,0,,0,,,,47,"REGULATOR, SAMES, AIRMIX REGULATOR, REGULATOR AIRM",AIRMIX REGULATOR,,,,3000.0,,,,,0,,0,0,,0,,9999-12-31,,9999
20049_2026:07:01 15:33:14 948,ZICM,MABXB006000,"NCV-20NGNVP-EX1,CONVERTER,NDV",NO,MC SPARES,NEW,,"NCV-20NGNVP-EX1,CONVERTER,NDV",,1,,1,,0,0,0,,0,,0,,0,,,,47,"CONVERTER, NDV, NCV-20NGNVP-EX1, CONVERTOR NCV-20N",NCV-20NGNVP-EX1,,,,3000.0,,,,,0,,0,0,,0,,9999-12-31,,9999
20049_2026:07:01 16:27:13 309,ZOES,33850M66T10,"CABLE, BATTERY",EA,LOC COMP,,G,"CABLE, BATTERY",CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,,1,,,,0001,S,,,S,S,B,1,EA2,1,1,SU2,1,2021.0,9999-12-31,S,9999
20049_2026:07:01 17:25:14 202,ZICM,MA8G0009000,"MJ 33 120 001,WORK TRAY",NO,MC SPARES,NEW,,"MJ 33 120 001,WORK TRAY",,1,,1,,0,0,0,,0,,0,,0,,,,47,"WORK TRAY, MJ 33 120 001, PART NAME BEARING CAP TR",MJ 33 120 001,,,,3000.0,,,,,0,,0,0,,0,,9999-12-31,,9999
